
56;Welches Amt gehört in Deutschland zur Gemeindeverwaltung?;Ordnungsamt
58;Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?;der Bundespräsident / die Bundespräsidentin
122;Welchem Grundsatz unterliegen Wahlen in Deutschland? Wahlen in Deutschland sind …;frei, gleich, geheim.
123;Was ist in Deutschland die „5 %-Hürde“?;Mindestanteil an Wählerstimmen, um ins Parlament zu kommen
124;Die Bundestagswahl in Deutschland ist die Wahl …;des Parlaments für Deutschland.
127;Warum gibt es die 5 %-Hürde im Wahlgesetz der Bundesrepublik Deutschland? Es gibt sie, weil …;viele kleine Parteien die Regierungsbildung erschweren.
128;Parlamentsmitglieder, die von den Bürgern und Bürgerinnen gewählt werden, nennt man …;Abgeordnete.
129;Vom Volk gewählt wird in Deutschland …;der Bundestag.
140;Was macht ein Schöffe / eine Schöffin in Deutschland? Er / Sie …;entscheidet mit Richtern / Richterinnen über Schuld und Strafe.
145;In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet ein Richter / eine Richterin? Für die …;Judikative.
149;Wer kann Gerichtsschöffe / Gerichtsschöffin in Deutschland werden?;alle deutschen Staatsangehörigen älter als 24 und jünger als 70 Jahre
150;Ein Gerichtsschöffe / eine Gerichtsschöffin in Deutschland ist …;ein ehrenamtlicher Richter / eine ehrenamtliche Richterin.
121;Eine Partei möchte in den Deutschen Bundestag. Sie muss aber einen Mindestanteil an Wählerstimmen haben. Das heißt …;5 %-Hürde.
125;In einer Demokratie ist eine Funktion von regelmäßigen Wahlen, …;nach dem Willen der Wählermehrheit den Wechsel der Regierung zu ermöglichen.
126;Was bekommen wahlberechtigte Bürger und Bürgerinnen in Deutschland vor einer Wahl?;eine Wahlbenachrichtigung von der Gemeinde
130;Welcher Stimmzettel wäre bei einer Bundestagswahl gültig?;1
131;In Deutschland ist ein Bürgermeister / eine Bürgermeisterin …;das Oberhaupt einer Gemeinde.
132;Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?;Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.
133;Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?;Man kann durch Briefwahl seine Stimme abgeben.
134;Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?;Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.
135;Wen vertreten die Gewerkschaften in Deutschland?;Arbeitnehmer und Arbeitnehmerinnen
136;Sie gehen in Deutschland zum Arbeitsgericht bei …;ungerechtfertigter Kündigung durch Ihren Chef / Ihre Chefin.
137;Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?;das Arbeitsgericht
138;Was kann ich in Deutschland machen, wenn mir mein Arbeitgeber / meine Arbeitgeberin zu Unrecht gekündigt hat?;Kündigungsschutzklage erheben
139;Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand …;eine Straftat begangen hat und angeklagt wird.
141;Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?;ein Rechtsanwalt / eine Rechtsanwältin
142;Was ist die Hauptaufgabe eines Richters / einer Richterin in Deutschland? Ein Richter / eine Richterin …;arbeitet an einem Gericht und spricht Urteile.
143;Ein Richter / eine Richterin in Deutschland gehört zur …;Judikative.
144;Ein Richter / eine Richterin gehört in Deutschland zur …;rechtsprechenden Gewalt.
146;Wie nennt man in Deutschland ein Verfahren vor einem Gericht?;Prozess
147;Was ist die Arbeit eines Richters / einer Richterin in Deutschland?;Recht sprechen
148;Was ist eine Aufgabe der Polizei in Deutschland?;die Einhaltung von Gesetzen zu überwachen
61;Was bedeutet „Volkssouveränität“?;Die Staatsgewalt geht vom Volke aus.
62;Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …;Landtagswahl.
63;Was gehört in Deutschland nicht zur Exekutive?;die Gerichte
65;Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …;das Bundeskabinett zu bilden.
75;Wie heißt Deutschlands heutiges Staatsoberhaupt?;Frank-Walter Steinmeier
80;Welches Gericht in Deutschland ist zuständig für die Auslegung des Grundgesetzes?;Bundesverfassungsgericht
81;Wer wählt den Bundeskanzler / die Bundeskanzlerin in Deutschland?;der Bundestag
82;Wer leitet das deutsche Bundeskabinett?;der Bundeskanzler / die Bundeskanzlerin
83;Wer wählt den deutschen Bundeskanzler / die deutsche Bundeskanzlerin?;der Bundestag
84;Welche Hauptaufgabe hat der deutsche Bundespräsident / die deutsche Bundespräsidentin? Er / Sie …;repräsentiert das Land.
85;Wer bildet den deutschen Bundesrat?;die Regierungsvertreter der Bundesländer
86;Wer wählt in Deutschland den Bundespräsidenten / die Bundespräsidentin?;die Bundesversammlung
87;Wer ist das Staatsoberhaupt der Bundesrepublik Deutschland?;der Bundespräsident / die Bundespräsidentin
90;Die deutschen Bundesländer wirken an der Gesetzgebung des Bundes mit durch …;den Bundesrat.
64;Die Bundesrepublik Deutschland ist heute gegliedert in …;Bund, Länder und Kommunen.
66;Wer schrieb den Text zur deutschen Nationalhymne?;Heinrich Hoffmann von Fallersleben
67;Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?;Schulpolitik
68;Warum kontrolliert der Staat in Deutschland das Schulwesen?;weil es nach dem Grundgesetz seine Aufgabe ist
69;Die Bundesrepublik Deutschland hat einen dreistufigen Verwaltungsaufbau. Wie heißt die unterste politische Stufe?;Gemeinden und Kommunen
70;Der deutsche Bundespräsident Gustav Heinemann gibt Helmut Schmidt 1974 die Ernennungsurkunde zum deutschen Bundeskanzler. Was gehört zu den Aufgaben des deutschen Bundespräsidenten / der deutschen Bundespräsidentin?;Er / Sie schlägt den Kanzler / die Kanzlerin zur Wahl vor.
71;Wo hält sich der deutsche Bundeskanzler / die deutsche Bundeskanzlerin am häufigsten auf? Am häufigsten ist er / sie …;in Berlin, weil sich dort das Bundeskanzleramt und der Bundestag befinden.
72;Wie heißt der jetzige Bundeskanzler / die jetzige Bundeskanzlerin von Deutschland?;Angela Merkel
73;Die beiden größten Fraktionen im Deutschen Bundestag heißen zurzeit …;CDU/CSU und SPD.
74;Wie heißt das Parlament für ganz Deutschland?;Bundestag
76;Was bedeutet die Abkürzung CDU in Deutschland?;Christlich Demokratische Union
77;Was ist die Bundeswehr?;die deutsche Armee
78;Was bedeutet die Abkürzung SPD?;Sozialdemokratische Partei Deutschlands
79;Was bedeutet die Abkürzung FDP in Deutschland?;Freie Demokratische Partei
88;Die parlamentarische Opposition im Deutschen Bundestag …;kontrolliert die Regierung.
89;Wie nennt man in Deutschland die Vereinigung von Abgeordneten einer Partei im Parlament?;Fraktion
91;In Deutschland kann ein Regierungswechsel in einem Bundesland Auswirkungen auf die Bundespolitik haben. Das Regieren wird …;schwieriger, wenn dadurch die Mehrheit im Bundesrat verändert wird.
92;Was bedeutet die Abkürzung CSU in Deutschland?;Christlich Soziale Union
93;Je mehr „Zweitstimmen“ eine Partei bei einer Bundestagswahl bekommt, desto …;mehr Sitze erhält die Partei im Parlament.
94;Ab welchem Alter darf man in Deutschland an der Wahl zum Deutschen Bundestag teilnehmen?;18
95;Was gilt für die meisten Kinder in Deutschland?;Schulpflicht
96;Was muss jeder deutsche Staatsbürger / jede deutsche Staatsbürgerin ab dem 16. Lebensjahr besitzen?;einen Personalausweis
97;Was bezahlt man in Deutschland automatisch, wenn man fest angestellt ist?;Sozialversicherung
98;Wenn Abgeordnete im Deutschen Bundestag ihre Fraktion wechseln, ...;kann die Regierung ihre Mehrheit verlieren.
99;Wer bezahlt in Deutschland die Sozialversicherungen?;Arbeitgeber / Arbeitgeberinnen und Arbeitnehmer / Arbeitnehmerinnen
100;Was gehört nicht zur gesetzlichen Sozialversicherung?;die Lebensversicherung
101;Gewerkschaften sind Interessenverbände der …;Arbeitnehmer und Arbeitnehmerinnen.
102;Womit kann man in der Bundesrepublik Deutschland geehrt werden, wenn man auf politischem, wirtschaftlichem, kulturellem, geistigem oder sozialem Gebiet eine besondere Leistung erbracht hat? Mit dem …;Bundesverdienstkreuz
103;Was wird in Deutschland als „Ampelkoalition“ bezeichnet? Die Zusammenarbeit …;von SPD, FDP und Bündnis 90/Die Grünen in einer Regierung
104;Eine Frau in Deutschland verliert ihre Arbeit. Was darf nicht der Grund für diese Entlassung sein?;Die Frau bekommt ein Kind und ihr Chef weiß das.
105;Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen in Deutschland?;Sie zählen die Stimmen nach dem Ende der Wahl.
106;In Deutschland helfen ehrenamtliche Wahlhelfer und Wahlhelferinnen bei den Wahlen. Was ist eine Aufgabe von Wahlhelfern / Wahlhelferinnen?;Sie zählen die Stimmen nach dem Ende der Wahl.
107;Für wie viele Jahre wird der Bundestag in Deutschland gewählt?;4 Jahre
108;Bei einer Bundestagswahl in Deutschland darf jeder wählen, der …;Bürger / Bürgerin der Bundesrepublik Deutschland ist und mindestens 18 Jahre alt ist.
109;Wie oft gibt es normalerweise Bundestagswahlen in Deutschland?;alle vier Jahre
110;Für wie viele Jahre wird der Bundestag in Deutschland gewählt?;4 Jahre
111;In Deutschland darf man wählen. Was bedeutet das?;Alle deutschen Staatsangehörigen dürfen wählen, wenn sie das Mindestalter erreicht haben.
112;Die Wahlen in Deutschland sind …;geheim.
113;Wahlen in Deutschland gewinnt die Partei, die …;die meisten Stimmen bekommt.
114;An demokratischen Wahlen in Deutschland teilzunehmen ist …;ein Recht.
115;Was bedeutet „aktives Wahlrecht“ in Deutschland?;Man kann wählen.
116;Wenn Sie bei einer Bundestagswahl in Deutschland wählen dürfen, heißt das …;aktives Wahlrecht.
117;Wie viel Prozent der Zweitstimmen müssen Parteien mindestens bekommen, um in den Deutschen Bundestag gewählt zu werden?;5 %
118;Was regelt das Wahlrecht in Deutschland?;Wer wählen darf, kann wählen.
119;Wahlen in Deutschland sind frei. Was bedeutet das?;Jede Person kann ohne Zwang entscheiden, ob sie wählen möchte und wen sie wählen möchte.
120;Das Wahlsystem in Deutschland ist ein …;Mehrheits- und Verhältniswahlrecht.
151;Wer baute die Mauer in Berlin?;die DDR
169;Wann wurde die Bundesrepublik Deutschland gegründet?;1949
174;Wann wurde die DDR gegründet?;1949
179;Wie endete der Zweite Weltkrieg in Europa offiziell?;durch die bedingungslose Kapitulation Deutschlands
152;Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?;1933 bis 1945
153;Was war am 8. Mai 1945?;Ende des Zweiten Weltkriegs in Europa
154;Wann war der Zweite Weltkrieg zu Ende?;1945
155;Wann waren die Nationalsozialisten in Deutschland an der Macht?;1933 bis 1945
156;In welchem Jahr wurde Hitler Reichskanzler?;1933
157;Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland …;eine Diktatur.
158;Das „Dritte Reich“ war eine …;Diktatur.
159;Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?;freie Wahlen
160;Welcher Krieg dauerte von 1939 bis 1945?;der Zweite Weltkrieg
161;Was kennzeichnete den NS-Staat? Eine Politik …;des staatlichen Rassismus
162;Claus Schenk Graf von Stauffenberg wurde bekannt durch …;das Attentat auf Hitler am 20. Juli 1944.
163;In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?;1938
164;Was passierte am 9. November 1938 in Deutschland?;Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört.
165;Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?;Konrad Adenauer
166;Bei welchen Demonstrationen in Deutschland riefen die Menschen „Wir sind das Volk“?;bei den Montagsdemonstrationen 1989 in der DDR
167;Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als „Alliierte Besatzungsmächte“ bezeichnet?;USA, Sowjetunion, Großbritannien, Frankreich
168;Welches Land war keine „Alliierte Besatzungsmacht“ in Deutschland?;Japan
170;Was gab es während der Zeit des Nationalsozialismus in Deutschland?;das Verbot von Parteien
171;Soziale Marktwirtschaft bedeutet, die Wirtschaft …;richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich.
172;In welcher Besatzungszone wurde die DDR gegründet? In der …;sowjetischen Besatzungszone.
173;Die Bundesrepublik Deutschland ist ein Gründungsmitglied …;der Europäischen Union (EU).
175;Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?;4
176;Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?;1=Großbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich
177;Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?;Berlin
178;Vom Juni 1948 bis zum Mai 1949 wurden die Bürger und Bürgerinnen von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?;Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.
180;Der erste Bundeskanzler der Bundesrepublik Deutschland war …;Konrad Adenauer.
211;Welcher Politiker steht für die „Ostverträge“?;Willy Brandt
215;Wer wird als „Kanzler der Deutschen Einheit“ bezeichnet?;Helmut Kohl
217;In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?;1949 bis 1990
218;Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?;5
219;Die Bundesrepublik Deutschland hat die Grenzen von heute seit …;1990.
236;Wie viele Mitgliedstaaten hat die EU heute?;27
237;2007 wurde das 50-jährige Jubiläum der „Römischen Verträge“ gefeiert. Was war der Inhalt der Verträge?;Gründung der Europäischen Wirtschaftsgemeinschaft (EWG)
239;Durch welche Verträge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europäischen Wirtschaftsgemeinschaft zusammen?;durch die „Römischen Verträge“
212;Wie heißt Deutschland mit vollem Namen?;Bundesrepublik Deutschland
213;Wie viele Einwohner hat Deutschland?;80 Millionen
214;Welche Farben hat die deutsche Flagge?;schwarz-rot-gold
216;Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen?;der Bundesadler.
220;Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?;an die Opfer des Nationalsozialismus
221;Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?;Deutsche können in viele Länder Europas ohne Passkontrolle reisen.
222;Welches Land ist ein Nachbarland von Deutschland?;Schweiz
223;Welches Land ist ein Nachbarland von Deutschland?;Polen
224;Was bedeutet die Abkürzung EU?;Europäische Union
225;In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?;Österreich
226;Welche ist die Flagge der Europäischen Union?;2
227;Welches Land ist ein Nachbarland von Deutschland?;Dänemark
228;Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?;Deutsche Wiedervereinigung
229;Welches Land ist ein Nachbarland von Deutschland?;Luxemburg
230;Das Europäische Parlament wird regelmäßig gewählt, nämlich alle …;5 Jahre.
231;Was bedeutet der Begriff „europäische Integration“?;Der Begriff meint den Zusammenschluss europäischer Staaten zur EU.
232;Wer wird bei der Europawahl gewählt?;die Abgeordneten des Europäischen Parlaments
233;Welches Land ist ein Nachbarland von Deutschland?;Tschechien
234;Wo ist der Sitz des Europäischen Parlaments?;Straßburg
235;Der französische Staatspräsident François Mitterrand und der deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?;Frieden und Sicherheit in den Ländern der EU
238;An welchen Orten arbeitet das Europäische Parlament?;Straßburg, Luxemburg und Brüssel
240;Seit wann bezahlt man in Deutschland mit dem Euro in bar?;2002
300;Aus welchem Land kamen die ersten Gastarbeiter / Gastarbeiterinnen in die Bundesrepublik Deutschland?;Italien
271;Was ist in Deutschland ein Brauch zu Weihnachten?;einen Tannenbaum schmücken
272;Welche Lebensform ist in Deutschland nicht erlaubt?;Ein Mann ist mit zwei Frauen zur selben Zeit verheiratet.
273;Bei Erziehungsproblemen gehen Sie in Deutschland …;zum Jugendamt.
274;Sie haben in Deutschland absichtlich einen Brief geöffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?;das Briefgeheimnis
275;Was braucht man in Deutschland für eine Ehescheidung?;die Unterstützung eines Anwalts / einer Anwältin
276;Was sollten Sie tun, wenn Sie von Ihrem Ansprechpartner / Ihrer Ansprechpartnerin in einer deutschen Behörde schlecht behandelt werden?;Ich kann mich beim Behördenleiter / bei der Behördenleiterin beschweren.
277;Eine Frau, die ein zweijähriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel für Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie …;Mutter ist.
278;Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er …;im Rollstuhl sitzt.
279;In den meisten Mietshäusern in Deutschland gibt es eine „Hausordnung“. Was steht in einer solchen „Hausordnung“? Sie nennt …;Regeln, an die sich alle Bewohner und Bewohnerinnen halten müssen.
280;Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, müssen Sie …;Einspruch einlegen.
281;Zwei Freunde wollen in ein öffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf …;Gleichbehandlung
282;Welches Ehrenamt müssen deutsche Staatsbürger / Staatsbürgerinnen übernehmen, wenn sie dazu aufgefordert werden?;Wahlhelfer / Wahlhelferin
283;Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Behörde bekommen?;Ich lege Widerspruch bei der Behörde ein.
284;Was man für die Arbeit können muss, ändert sich in der Zukunft sehr schnell. Was kann man tun?;Erwachsene müssen auch nach der Ausbildung immer weiter lernen.
285;Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem Büro. Was muss sie nicht von ihrem Gehalt bezahlen?;Umsatzsteuer
286;Welche Organisation in einer Firma hilft den Arbeitnehmern und Arbeitnehmerinnen bei Problemen mit dem Arbeitgeber / der Arbeitgeberin?;der Betriebsrat
287;Sie möchten bei einer Firma in Deutschland Ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?;die Kündigungsfrist
288;Bei welchem Amt muss man in Deutschland in der Regel seinen Hund anmelden?;bei der Kommune (Stadt oder Gemeinde)
289;Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil …;er eine dunkle Haut hat.
290;Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was können Sie machen?;den Fernseher reklamieren
291;Warum muss man in Deutschland bei der Steuererklärung aufschreiben, ob man zu einer Kirche gehört oder nicht? Weil …;es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer geknüpft ist.
292;Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?;Jeder kann glauben, was er möchte.
293;Was ist in Deutschland ein Brauch an Ostern?;Eier bemalen
294;Pfingsten ist ein …;christlicher Feiertag.
295;Welche Religion hat die europäische und deutsche Kultur geprägt?;das Christentum
296;In Deutschland nennt man die letzten vier Wochen vor Weihnachten …;die Adventszeit.
297;Aus welchem Land sind die meisten Migranten / Migrantinnen nach Deutschland gekommen?;Türkei
298;In der DDR lebten vor allem Migranten aus …;Vietnam, Polen, Mosambik.
299;Ausländische Arbeitnehmer und Arbeitnehmerinnen, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man …;Gastarbeiter / Gastarbeiterinnen
182;Welche Parteien wurden 1946 zwangsweise zur SED vereint, der Einheitspartei der späteren DDR?;KPD und SPD
188;In welchem Jahr wurde die Mauer in Berlin gebaut?;1961
203;Wie hieß das Wirtschaftssystem der DDR?;Planwirtschaft
206;Was bedeutete im Jahr 1989 in Deutschland das Wort „Montagsdemonstration“?;Montags waren Demonstrationen gegen das DDR-Regime.
210;Was ereignete sich am 17. Juni 1953 in der DDR?;landesweite Streiks und ein Volksaufstand
181;Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken?;Er bat Polen und die polnischen Juden um Vergebung.
183;Wann war in der Bundesrepublik Deutschland das „Wirtschaftswunder“?;50er Jahre
184;Was nannten die Menschen in Deutschland sehr lange „Die Stunde Null“?;Darunter verstand man das Ende des Zweiten Weltkrieges und den Beginn des Wiederaufbaus.
185;Wofür stand der Ausdruck „Eiserner Vorhang“? Für die Abschottung …;des Warschauer Pakts gegen den Westen.
186;Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?;17. Juni
187;Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?;DDR
189;Wann baute die DDR die Mauer in Berlin?;1961
190;Was bedeutet die Abkürzung DDR?;Deutsche Demokratische Republik
191;Wann wurde die Mauer in Berlin für alle geöffnet?;1989
192;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Brandenburg
193;Von 1961 bis 1989 war Berlin …;durch eine Mauer geteilt.
194;Am 3. Oktober feiert man in Deutschland den Tag der Deutschen …;Einheit.
195;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Sachsen-Anhalt
196;Warum nennt man die Zeit im Herbst 1989 in der DDR „Die Wende“? In dieser Zeit veränderte sich die DDR politisch …;von einer Diktatur zur Demokratie.
197;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Thüringen
198;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Sachsen
199;Mit der Abkürzung „Stasi“ meinte man in der DDR …;das Ministerium für Staatssicherheit.
200;Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?;Mecklenburg-Vorpommern
201;Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?;Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen
202;Zu wem gehörte die DDR im „Kalten Krieg“?;zum Warschauer Pakt
204;Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?;Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.
205;Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch …;zur Europäischen Union.
207;In welchem Militärbündnis war die DDR Mitglied?;im Warschauer Pakt
208;Was war die „Stasi“?;der Geheimdienst der DDR
209;Welches war das Wappen der Deutschen Demokratischen Republik?;4
1;In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil …;hier Meinungsfreiheit gilt.
11;Wie wird die Verfassung der Bundesrepublik Deutschland genannt?;Grundgesetz
14;Meinungsfreiheit in Deutschland heißt, dass ich …;meine Meinung in Leserbriefen äußern kann.
18;Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?;die Unantastbarkeit der Menschenwürde
20;Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …;verfassungswidrig.
30;Was ist kein Merkmal unserer Demokratie?;Pressezensur
2;In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am …;Religionsunterricht teilnimmt.
3;Deutschland ist ein Rechtsstaat. Was ist damit gemeint?;Alle Einwohner / Einwohnerinnen und der Staat müssen sich an die Gesetze halten.
4;Welches Recht gehört zu den Grundrechten in Deutschland?;Meinungsfreiheit
5;Wahlen in Deutschland sind frei. Was bedeutet das?;Der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.
6;Wie heißt die deutsche Verfassung?;Grundgesetz
7;Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf …;Glaubens- und Gewissensfreiheit
8;Was steht nicht im Grundgesetz von Deutschland?;Alle sollen gleich viel Geld haben.
9;Welches Grundrecht gilt in Deutschland nur für Ausländer / Ausländerinnen? Das Grundrecht auf …;Asyl
10;Was ist mit dem deutschen Grundgesetz vereinbar?;die Geldstrafe
12;Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?;Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.
13;Im Parlament steht der Begriff „Opposition“ für…;alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.
15;Was verbietet das deutsche Grundgesetz?;Zwangsarbeit
16;Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?;bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen
17;Die deutschen Gesetze verbieten …;Ungleichbehandlung der Bürger und Bürgerinnen durch den Staat.
19;Was versteht man unter dem Recht der „Freizügigkeit“ in Deutschland?;Man darf sich seinen Wohnort selbst aussuchen.
21;Welches ist das Wappen der Bundesrepublik Deutschland?;1
22;Was für eine Staatsform hat Deutschland?;Republik
